step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
211,174342,422,0.02179649191733915,0.5,0.75,,,,,
212,174984,424,0.02105427029506791,1.0,1.0,,,,,
213,175610,426,0.020419027956506915,1.0,1.0,,,,,
214,177884,428,0.010047914030120975,1.0,1.0,,,,,
215,179566,430,0.01687727037070103,1.0,1.0,,,,,
216,182064,432,0.005939676814955128,1.0,1.0,,,,,
217,182434,434,0.03175876511022738,0.5,0.75,0.010076954178509687,1.0,1.0,,
218,184804,436,0.005460443424753254,1.0,1.0,,,,,
219,185526,438,0.016602538557770052,1.0,1.0,,,,,
220,186600,440,0.030261095521092147,0.0,0.5,,,,,
221,187002,442,0.029856788951399,0.5,0.75,,,,,
222,187964,444,0.010556989051200165,1.0,1.0,,,,,
223,188958,446,0.02687652533648361,0.5,0.75,,,,,
224,190912,448,0.019832605183108653,1.0,1.0,,,,,
225,191330,450,0.02638816469303073,0.5,0.75,0.039712125021954606,0.5,0.75,,
226,191892,452,0.020490916553251737,1.0,1.0,,,,,
227,192486,454,0.02197079287368684,1.0,1.0,,,,,
228,192872,456,0.03430444443357677,0.0,0.5,,,,,
229,193290,458,0.019946831149190287,1.0,1.0,,,,,
230,193724,460,0.036491553211622146,0.0,0.5,,,,,
231,194478,462,0.022007801810457056,1.0,1.0,,,,,
232,195200,464,0.025658882234528068,1.0,1.0,,,,,
233,196786,466,0.02048762728421025,1.0,1.0,0.02139056892093019,1.0,1.0,,
234,197412,468,0.025668932360226437,1.0,1.0,,,,,
235,198518,470,0.021789866579597465,0.5,0.75,,,,,
236,199112,472,0.020495426984339125,1.0,1.0,,,,,
237,199850,474,0.023769871831763358,0.5,0.75,,,,,
238,200956,476,0.026083461199309765,1.0,1.0,,,,,
239,201358,478,0.024433239874592977,1.0,1.0,,,,,
240,203264,480,0.012450871631819318,1.0,1.0,,,,,
241,203682,482,0.028431485305255386,1.0,1.0,0.008154062909939369,0.5,0.75,,
242,204052,484,0.03351246874211621,0.5,0.75,,,,,
243,204582,486,0.02239182252625114,1.0,1.0,,,,,
244,205288,488,0.020972218406742203,0.5,0.75,,,,,
245,206154,490,0.02368640864837146,0.0,0.5,,,,,
246,206860,492,0.02092752197514239,1.0,1.0,,,,,
247,207726,494,0.020379927410388483,0.5,0.75,,,,,
248,208480,496,0.024273162074150992,0.5,0.75,,,,,
249,208866,498,0.023515956805530702,1.0,1.0,0.010004068846678501,0.5,0.75,,
250,209220,500,0.022052862945415242,0.5,0.75,,,,,
251,212278,502,0.01790593929925323,0.5,0.75,,,,,
252,212680,504,0.029083725509150827,1.0,1.0,,,,,
253,213578,506,0.02078334153927569,0.5,0.75,,,,,
254,214956,508,0.0241775465417497,1.0,1.0,,,,,
